round,move_number,player,player_hand,candidate,selected_action,weight,breakdown
1,1,biobfdbiobfd,[8R|2R|5O|4R|2G|3O|7B|4O|2Y|6B|2O|7G|3B|5B|J|Q|K],QUAD[2R|2G|2Y|2O],true,,
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[10B|10G|10O|J[10O]],true,0,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=0, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],Pass,false,0,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=0, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[3Y|J[3Y]|Q[3Y]|K[3Y]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[4G|4Y|J[4Y]|Q[4Y]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[5R|J[5R]|Q[5R]|K[5R]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[6G|6Y|6O|J[6O]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[7O|J[7O]|Q[7O]|K[7O]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[8O|J[8O]|Q[8O]|K[8O]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
1,2,AI-1,[4G|10G|7O|8O|5R|9R|4Y|6O|10B|6Y|9Y|10O|6G|3Y|J|Q|K],QUAD[9R|9Y|J[9Y]|Q[9Y]],false,-39,"PenalizeBombContinuationWeightStrategy=0, PenalizeWildCardsInContinuationWeightStrategy=0, PenalizeContinuationWhenHigherRelatedCombinationExistsWeightStrategy=0, PreferUsingWildAsHigherCardInContinuationWeightStrategy=-39, PreferLowerValueContinuationWeightStrategy=0, PreferContinuationsWithFollowUpWeightStrategy=0, PreferNotPassingWhenHoldingPlayableBombInEndgameWeightStrategy=0"
