games,seedStart,rotate,gameOverScore,maxMovesPerGame,monteCarloStrategy,BombContinuationWeight,BombOpeningWeight,ContinuationCountWeight,ContinuationFollowUpWeight,HigherRelatedCombinationContinuationWeight,HigherRelatedCombinationOpeningWeight,LowerValueContinuationWeight,PlayableBombInEndgameWeight,PreferLowerStartWeight,PreferNonBreakableOpeningWeight,PreferShorterStartWeight,PreferSinglesNotBreakingNonWildCombinationsWeight,PreferUsingWildAsHigherCardInContinuationWeight,WildCardContinuationWeight,WildCardOpeningWeight,completedGames,failedGames,heuristicWins,monteCarloWins,heuristicWinRatePct,monteCarloWinRatePct,heuristicAverageScore,monteCarloAverageScore,averageRounds,averageMoves,averageGameElapsedMs,totalGameElapsedMs,timestampUtc
5,1,true,250,20000,montecarlo:200:200:4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,1,9,10.00,90.00,167.30,258.80,8.80,220.60,6440.90,64409,2026-06-22T14:25:55.5599032Z
5,1,true,250,20000,montecarlo:200:200:4,1,0.5,1,1.25,1,1,1,1,1,1,1,1,1,1,1,10,0,3,7,30.00,70.00,210.40,256.60,10.00,251.60,7367.90,73679,2026-06-22T14:27:09.2498999Z
5,1,true,250,20000,montecarlo:200:200:4,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,1,9,10.00,90.00,194.40,246.10,9.40,243.30,7111.80,71118,2026-06-22T14:40:45.0333396Z
5,1,true,250,20000,montecarlo:200:200:4,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,2,8,20.00,80.00,194.00,265.20,9.90,252.70,7115.20,71152,2026-06-22T14:41:56.1958796Z
5,1,true,250,20000,montecarlo:200:200:4,1.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,2,8,20.00,80.00,204.90,256.80,10.00,267.20,7653.40,76534,2026-06-22T14:43:12.7351862Z
5,1,true,250,20000,montecarlo:200:200:4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,0,10,0.00,100.00,155.90,266.90,9.00,227.60,6799.30,67993,2026-06-22T14:44:20.7334165Z
5,1,true,250,20000,montecarlo:200:200:4,1,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,3,7,30.00,70.00,198.30,222.30,8.50,214.60,6328.20,63282,2026-06-22T14:45:24.0208367Z
5,1,true,250,20000,montecarlo:200:200:4,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,1,9,10.00,90.00,193.00,273.20,9.80,253.60,7612.90,76129,2026-06-22T14:46:40.1559139Z
5,1,true,250,20000,montecarlo:200:200:4,1,1,1.25,1,1,1,1,1,1,1,1,1,1,1,1,10,0,1,9,10.00,90.00,174.20,248.90,9.00,225.80,6544.90,65449,2026-06-22T14:47:45.6109926Z
5,1,true,250,20000,montecarlo:200:200:4,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,10,0,2,8,20.00,80.00,208.60,255.80,9.60,240.30,6935.20,69352,2026-06-22T14:48:54.9695295Z
