games,seedStart,rotate,gameOverScore,maxMovesPerGame,monteCarloStrategy,BombContinuationWeight,BombOpeningWeight,ContinuationCountWeight,ContinuationFollowUpWeight,HigherRelatedCombinationContinuationWeight,HigherRelatedCombinationOpeningWeight,LowerValueContinuationWeight,PlayableBombInEndgameWeight,PreferLowerStartWeight,PreferNonBreakableOpeningWeight,PreferShorterStartWeight,PreferSinglesNotBreakingNonWildCombinationsWeight,PreferUsingWildAsHigherCardInContinuationWeight,WildCardContinuationWeight,WildCardOpeningWeight,completedGames,failedGames,heuristicWins,monteCarloWins,heuristicWinRatePct,monteCarloWinRatePct,heuristicAverageScore,monteCarloAverageScore,averageRounds,averageMoves,averageGameElapsedMs,totalGameElapsedMs,timestampUtc
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:35.9157093Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1.177,1,1,1,1,1,1,1,2.118,1.105,1,2.625,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:37.3891064Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.223,1,3.584,0,1,0,1,3.218,1,1,1,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:38.8589906Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.612,1,0.35,0,0.78,1,1,1,2.87,3.599,0,1,1,1.814,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:40.3294912Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.674,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:41.8021905Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,0.519,0.194,1,1,1,1,1.686,1,1,2.938,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:43.2873541Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,1,3.153,1,1,0.508,1,1,1,0,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:44.7629942Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.263,0,0,1,0.069,1,1,1,1,0,1,0,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:45.9480729Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,1,0,1,1,1.538,1,0.358,1.029,1,1,1,1.435,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:47.4262312Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,3.894,1,1,1,1,1,1,0,1,3.612,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:48.9056021Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.199,1.031,1,1,1,0,1,1,1.192,1,0,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:50.4064732Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,0,1,1,1.855,1,1,1,1,1,3.821,0,3.043,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:51.5761557Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,0,1,1,0,1,1,1,0,1.126,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:53.0486501Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.743,0,1,1,1,1,1,3.482,1,0.221,3.419,2.635,3.209,1,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:54.3715806Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,2.867,1.215,1,1,0.667,1,1,1,1,3.064,2.327,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:55.7023347Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.34,2.014,0,2.737,1,2.099,1,1,1,1,3.339,3.778,0,1.02,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:56.8940407Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,1,0,0,1,1.781,3.629,0.319,1,1,0,3.932,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:58.2597564Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,2.138,3.917,1,1,1,0,1.522,1,1,1.298,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:14:59.7364838Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,1,3.088,3.652,0,1,0.762,1,0,1.318,1,0.47,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:01.2142543Z
